"","simp_plot","oldgrowthscore","cwd_diversity_score","depressions_score","basalarea_score","largetreefrequency_score","x","y"
"257",1313,5,1,0,3,1,-81.6686,41.3019
"258",1314,5,1,1,2,1,-81.82169,41.33349
"259",1315,3,1,0,2,0,-81.56807,41.35337
"260",1316,5,1,1,2,1,-81.41673,41.42686
"261",1317,6,1,1,3,1,-81.72942,41.21097
"262",1318,6,2,1,2,1,-81.84906,41.35734
"263",1319,4,1,0,2,1,-81.55237,41.3793
"264",1320,4,1,2,1,0,-81.4279,41.41164
"265",1321,5,1,1,2,1,-81.43488,41.57478
"266",1322,5,1,1,2,1,-81.70638,41.20947
"267",1324,3,1,1,1,0,-81.52014,41.3841
"268",1325,3,1,0,2,0,-81.72513,41.21915
"269",1326,7,2,1,3,1,-81.82401,41.47466
"270",1327,3,1,1,1,0,-81.7692,41.29438
"271",1328,5,2,0,2,1,-81.71154,41.44419
"272",1329,5,1,1,2,1,-81.60254,41.3155
"273",1330,7,2,1,3,1,-81.8902,41.40466
"274",1332,5,1,1,2,1,-81.42514,41.561
"275",1333,2,1,0,1,0,-81.57007,41.28418
"276",1335,3,1,1,1,0,-81.56582,41.36219
"277",1336,7,1,1,3,2,-81.40605,41.44345
"278",1338,5,2,1,2,0,-81.69582,41.2096
"279",1339,4,1,1,2,0,-81.82941,41.32799
"280",1340,6,2,1,2,1,-81.5353,41.55702
"281",1341,5,1,1,2,1,-81.67989,41.21982
"282",1343,4,1,1,2,0,-81.79462,41.3023
"283",1347,6,1,1,3,1,-81.51488,41.37918
"284",1348,5,2,1,1,1,-81.41543,41.55791
"285",1349,4,1,1,2,0,-81.59264,41.29964
"286",1350,5,3,1,1,0,-81.87952,41.39285
"287",1351,5,1,1,2,1,-81.54648,41.37309
"288",1352,9,2,1,3,3,-81.41735,41.41743
"289",1353,7,2,1,3,1,-81.42648,41.58121
"290",1354,5,1,1,2,1,-81.69848,41.20764
"291",1355,3,1,1,1,0,-81.82167,41.33292
"292",1357,5,1,1,2,1,-81.69064,41.21815
"293",1358,6,1,1,3,1,-81.82278,41.45879
"294",1359,3,1,1,1,0,-81.77739,41.29823
"295",1360,3,1,1,1,0,-81.43782,41.58063
"296",1361,6,2,1,2,1,-81.59908,41.3069
"297",1362,5,2,0,2,1,-81.84056,41.44581
"298",1363,4,2,0,1,1,-81.59277,41.34706
"299",1365,3,1,1,1,0,-81.58047,41.29565
"300",1366,5,1,1,3,0,-81.8568,41.36492
"301",1367,3,1,0,2,0,-81.55196,41.36911
"302",1368,5,1,1,2,1,-81.41761,41.41452
"303",1369,5,2,0,2,1,-81.42401,41.57111
"304",1370,5,1,1,2,1,-81.72102,41.20956
"305",1371,4,1,0,3,0,-81.84521,41.33863
"306",1372,4,1,1,1,1,-81.5466,41.38854
"307",1373,4,1,1,2,0,-81.69108,41.25756
"308",1374,8,3,1,3,1,-81.97034,41.4118
"309",1375,5,1,1,2,1,-81.78996,41.30802
"310",1376,5,2,1,2,0,-81.69685,41.38108
"311",1377,6,1,1,2,2,-81.61928,41.30793
"312",1379,2,1,0,1,0,-81.48068,41.38044
"313",1380,6,1,1,2,2,-81.41762,41.56388
"314",1381,4,1,0,2,1,-81.57875,41.29305
"315",1383,4,1,1,2,0,-81.57443,41.37752
"316",1384,4,2,1,1,0,-81.40661,41.43943
"317",1385,3,1,1,1,0,-81.69359,41.26267
"318",1386,6,1,1,3,1,-81.95436,41.41022
"319",1387,4,2,1,1,0,-81.77905,41.30517
"320",1388,4,1,1,2,0,-81.70219,41.38003
"321",1389,5,1,0,2,2,-81.70518,41.22529
"322",1390,7,1,1,3,2,-81.89082,41.41101
"323",1393,8,2,2,3,1,-81.73254,41.30209
"324",1394,6,1,1,3,1,-81.83493,41.33876
"325",1395,4,1,2,1,0,-81.56789,41.38234
"326",1396,8,2,1,3,2,-81.40875,41.44905
"327",1399,7,2,1,2,2,-81.55326,41.38343
"328",1400,6,2,0,3,1,-81.42056,41.40909
"329",3362,5,2,0,2,1,-81.59023,41.30528
"330",3364,7,1,1,3,2,-81.47428,41.41769
"331",3365,5,1,1,2,1,-81.79678,41.30568
"332",3367,4,1,1,1,1,-81.88037,41.39968
"333",3368,4,1,0,2,1,-81.56652,41.35604
"334",3369,6,2,1,2,1,-81.42592,41.56239
"335",3370,5,3,0,1,1,-81.71687,41.21482
"336",3372,6,2,1,2,1,-81.7111,41.44445
"337",3374,7,2,1,3,1,-81.69714,41.30125
"338",3376,5,1,1,2,1,-81.52866,41.55004
"339",3377,4,1,1,1,1,-81.4045,41.41826
"340",3378,5,1,1,2,1,-81.58825,41.32416
"341",3380,3,1,1,1,0,-81.56783,41.38253
"342",3381,5,2,1,2,0,-81.76318,41.2939
"343",3382,5,1,1,2,1,-81.60212,41.30404
"344",3385,4,1,1,2,0,-81.43456,41.5671
"345",3386,5,1,1,2,1,-81.69980052,41.22247933
"346",3387,3,1,1,1,0,-81.84515,41.35495
"347",3389,6,2,1,2,1,-81.40557,41.44235
"348",3390,2,1,0,1,0,-81.68791,41.20335
"349",3392,4,1,1,2,0,-81.79791,41.31856
"350",3394,3,1,1,1,0,-81.59142,41.29612
"351",3395,3,1,1,1,0,-81.82555,41.33567
"352",3396,7,2,1,2,2,-81.56619,41.37279
"353",3397,6,1,1,3,1,-81.79543,41.30117
"354",3398,7,1,1,3,2,-81.61312,41.32058
"355",3399,2,1,0,1,0,-81.838005,41.448065
"356",3400,6,3,0,2,1,-81.54556,41.38406
"357",3402,3,1,1,1,0,-81.69234,41.25807
"358",3405,3,1,1,1,0,-81.43608,41.41645
"359",3406,6,1,1,2,2,-81.69532,41.20557
"360",3409,6,1,1,3,1,-81.43246,41.57292
"361",3410,6,2,1,3,0,-81.57136,41.29041
"362",3411,5,1,1,2,1,-81.88487,41.39462
"363",3412,2,1,0,1,0,-81.5914,41.3507
"364",3413,6,1,1,3,1,-81.4212,41.55064
"365",3414,2,1,0,1,0,-81.68105,41.22013
"366",3415,6,2,1,2,1,-81.85544,41.42155
"367",3417,7,1,1,3,2,-81.42229,41.42276
"368",3418,4,1,1,2,0,-81.72787,41.21688
"369",3420,5,1,1,2,1,-81.69646,41.3781
"370",3421,6,2,2,1,1,-81.42902,41.41021
"371",3422,2,1,0,1,0,-81.71733,41.20309
"372",3423,5,2,1,2,0,-81.5001,41.37826
"373",3425,7,1,1,3,2,-81.43165,41.57682
"374",3428,6,1,1,3,1,-81.458708,41.41535584
"375",3432,3,1,1,1,0,-81.57516,41.35497
"376",3433,7,1,1,3,2,-81.42271,41.56847
"377",3435,5,1,1,2,1,-81.83994,41.37642
"378",3437,3,1,0,2,0,-81.40145,41.43691
"379",3439,5,1,1,2,1,-81.81963,41.45682
"380",3441,3,1,1,1,0,-81.43913,41.57656
"381",3443,6,1,1,3,1,-81.9314,41.48655
"382",3444,6,1,1,3,1,-81.56512,41.37965
"383",3449,5,1,1,2,1,-81.423,41.5546
"384",3452,4,1,0,3,0,-81.62365,41.44281
"385",3453,3,1,0,2,0,-81.42323,41.41173
"386",3455,4,2,0,1,1,-81.8305,41.48044
"387",3457,7,2,1,2,2,-81.42545,41.58551
"388",3459,4,1,1,1,1,-81.82951,41.35394
"389",3461,2,1,0,1,0,-81.41496,41.55568
"390",3463,5,1,0,3,1,-81.8387,41.44384
"391",3465,7,1,1,3,2,-81.40639,41.45245
"392",3479,7,1,1,3,2,-81.86826,41.41875
"393",3483,4,1,1,1,1,-81.82654,41.45198
"394",3484,5,1,1,2,1,-81.68914,41.39059
"395",3495,6,2,1,2,1,-81.88403,41.41047
"396",3499,6,2,0,3,1,-81.8787,41.39193
"397",3500,6,1,1,3,1,-81.75536,41.41165
"398",3511,6,2,1,2,1,-81.84148,41.43441
"399",3596,7,2,1,2,2,-81.69773,41.38441
"400",3652,4,1,2,1,0,-81.65958,41.43489
"401",3668,5,1,1,2,1,-81.69404,41.3795
"402",3732,5,1,0,3,1,-81.69424,41.38906
"403",3812,3,1,1,1,0,-81.72048,41.44942
"404",3964,8,2,1,3,2,-81.67164,41.43824
"405",3980,4,1,1,2,0,-81.66095,41.45597
